lam,seed,hr_frac,r2_counts_only,r2log_counts_only,r2_counts_plus_lr,r2log_counts_plus_lr,r2_countsall_plus_lr,r2log_countsall_plus_lr
0.1,0,0.4927978515625,0.2645535061459875,0.21734111481198498,0.28093057253153453,0.4254224777608369,0.28093057253153453,0.4254224777608369
0.25,0,0.31048583984375,0.12424189613899181,0.11748864888108976,0.2675504473305376,0.4109228965658153,0.2675504473305376,0.4109228965658153
0.5,0,0.171875,0.0954071092122804,0.1903807895327789,0.20516800903563523,0.3904549751336771,0.20516800903563523,0.3904549751336771
1.0,0,0.0758056640625,0.0003392737310708393,0.045729816603258304,0.2040093626986113,0.3850041502473914,0.2040093626986113,0.3850041502473914
2.0,0,0.012451171875,0.0034705227009833,0.007486698524413881,0.20166791968252817,0.38284380191850864,0.20166791968252817,0.38284380191850864
4.0,0,0.0064697265625,0.000596548367039295,0.0038691854992534067,0.1952713067363296,0.3909111983969756,0.1952713067363296,0.3909111983969756
