seed,method,variant,r2,mse,ev,spearman,hr_frac,target
0,no_dropping,counts_only,0.20223994605963,5.9592881340314765,0.1966000632536805,0.37118290213915056,1.0,pc_cons
0,no_dropping,counts_plus_lr,0.28213000003990407,5.408198157047717,0.2821095631218252,0.5907051282051281,1.0,pc_cons
0,no_dropping,countsall_plus_lr,0.28213000003990407,5.408198157047717,0.2821095631218252,0.5907051282051281,1.0,pc_cons
0,fixed_center,counts_only,0.00045906778819410657,8.502788246523245,-0.05134695867231387,0.029605113999717637,0.16796875,pc_cons
0,fixed_center,counts_plus_lr,0.20757065080135628,6.05266929682521,0.204505655197595,0.5734432234432234,0.16796875,pc_cons
0,fixed_center,countsall_plus_lr,0.20757065080135628,6.05266929682521,0.204505655197595,0.5734432234432234,0.16796875,pc_cons
0,random,counts_only,0.03827931154966455,7.705046517868803,0.03822188244113345,0.1942151974322982,0.16796875,pc_cons
0,random,counts_plus_lr,0.21103213338870472,5.999997437139784,0.20825613848972124,0.5674908424908424,0.16796875,pc_cons
0,random,countsall_plus_lr,0.21103213338870472,5.999997437139784,0.20825613848972124,0.5674908424908424,0.16796875,pc_cons
0,stochastic,counts_only,0.006907332969375672,8.270782850692868,-0.002102029097807323,-0.00810342259484663,0.16796875,pc_cons
0,stochastic,counts_plus_lr,0.20833156861307742,6.061782252244598,0.20627238761244682,0.578021978021978,0.16796875,pc_cons
0,stochastic,countsall_plus_lr,0.20833156861307742,6.061782252244598,0.20627238761244682,0.578021978021978,0.16796875,pc_cons
0,green_tiles,counts_only,0.0009207593673652924,8.5613481619859,-0.05584645182483006,-0.05940870277470946,0.16796875,pc_cons
0,green_tiles,counts_plus_lr,0.20444327366860454,6.09804773691703,0.20278825305467563,0.5732600732600731,0.16796875,pc_cons
0,green_tiles,countsall_plus_lr,0.20444327366860454,6.09804773691703,0.20278825305467563,0.5732600732600731,0.16796875,pc_cons
0,counts_pred,counts_only,0.05083778824324194,7.600182094204349,0.04845258804623542,-9.168325261676763e-05,0.16796875,pc_cons
0,counts_pred,counts_plus_lr,0.24933638031244423,5.774362964370956,0.24926447177245303,0.5890567765567765,0.16796875,pc_cons
0,counts_pred,countsall_plus_lr,0.24933638031244423,5.774362964370956,0.24926447177245303,0.5890567765567765,0.16796875,pc_cons
0,rl,counts_only,0.012146806098184457,7.94760251494443,-0.026704727119755578,-0.05200243801781561,0.16876220703125,pc_cons
0,rl,counts_plus_lr,0.20681149398619816,6.112318949683091,0.20505413380356396,0.5834249084249084,0.16876220703125,pc_cons
0,rl,countsall_plus_lr,0.20681149398619816,6.112318949683091,0.20505413380356396,0.5834249084249084,0.16876220703125,pc_cons
0,lr_only,lr_only,0.26287477880629195,5.519759306530401,0.26259197038066706,0.5654304029304029,0.0,pc_cons
0,no_dropping,counts_only,0.20830372190526356,0.4344865142468484,0.19663901037962128,0.3929287144575237,1.0,log_pc_cons
0,no_dropping,counts_plus_lr,0.4250623276331709,0.31827513301918187,0.4232984798427222,0.6638278388278388,1.0,log_pc_cons
0,no_dropping,countsall_plus_lr,0.4250623276331709,0.31827513301918187,0.4232984798427222,0.6638278388278388,1.0,log_pc_cons
0,fixed_center,counts_only,0.003452303446833263,0.6432072050961216,-0.07768372370323817,0.1234806271381038,0.16796875,log_pc_cons
0,fixed_center,counts_plus_lr,0.39511281688369276,0.34332398226375954,0.3948415628643156,0.6470238095238094,0.16796875,log_pc_cons
0,fixed_center,countsall_plus_lr,0.39511281688369276,0.34332398226375954,0.3948415628643156,0.6470238095238094,0.16796875,log_pc_cons
0,random,counts_only,0.07725958269050714,0.5467575577239662,0.0756553038568667,0.18195429122682766,0.16796875,log_pc_cons
0,random,counts_plus_lr,0.3905765172760179,0.3440040652796663,0.38969106905810535,0.6453754578754577,0.16796875,log_pc_cons
0,random,countsall_plus_lr,0.3905765172760179,0.3440040652796663,0.38969106905810535,0.6453754578754577,0.16796875,log_pc_cons
0,stochastic,counts_only,0.0032938481468647363,0.6529613336651268,-0.06150361201719101,0.06365589870280046,0.16796875,log_pc_cons
0,stochastic,counts_plus_lr,0.39583885232830607,0.34517131794050265,0.39580554090100006,0.6510073260073259,0.16796875,log_pc_cons
0,stochastic,countsall_plus_lr,0.39583885232830607,0.34517131794050265,0.39580554090100006,0.6510073260073259,0.16796875,log_pc_cons
0,green_tiles,counts_only,0.0010114155275209797,0.663065303500018,-0.13105968832069004,-0.05592293428948715,0.16796875,log_pc_cons
0,green_tiles,counts_plus_lr,0.3858154604479876,0.3464807059264844,0.385341080009473,0.6409340659340659,0.16796875,log_pc_cons
0,green_tiles,countsall_plus_lr,0.3858154604479876,0.3464807059264844,0.385341080009473,0.6409340659340659,0.16796875,log_pc_cons
0,counts_pred,counts_only,0.021473557022235686,0.5967331241340322,-0.02612952798421264,0.04405380288235684,0.16796875,log_pc_cons
0,counts_pred,counts_plus_lr,0.390308049996017,0.34497089620153454,0.38999688788246967,0.64757326007326,0.16796875,log_pc_cons
0,counts_pred,countsall_plus_lr,0.390308049996017,0.34497089620153454,0.38999688788246967,0.64757326007326,0.16796875,log_pc_cons
0,rl,counts_only,0.04487853891016408,0.5659488235922567,0.01714486225475864,0.14141839479053023,0.16876220703125,log_pc_cons
0,rl,counts_plus_lr,0.3918504305517774,0.34592091232285016,0.3909558922956342,0.6478937728937728,0.16876220703125,log_pc_cons
0,rl,countsall_plus_lr,0.3918504305517774,0.34592091232285016,0.3909558922956342,0.6478937728937728,0.16876220703125,log_pc_cons
0,lr_only,lr_only,0.42461493629534564,0.3170287447079979,0.42460538686963945,0.6674908424908425,0.0,log_pc_cons
0,rl_matched,counts_only,0.003988925774866492,8.18780101081827,-0.09350423334742253,0.28825229372443084,0.16876220703125,pc_cons
