cid,lat,lon,urban,households,y_true_pc_cons,y_pred,out_of_fold,n_oof_splits,hr_gsd_m_per_px,subtiles_bought,subtiles_total,hr_frac,objects_acquired,objects_full_grid
253,-0.474377,30.139322,0,14,1.9597,1.205,1,1,0.5972,13,256,0.05078,4,74
254,-0.43739,30.292999,0,10,2.8369,1.8344,1,2,0.5972,5,256,0.01953,3,22
255,-0.529316,29.961195,0,8,2.6661,1.2692,1,1,0.5972,0,256,0.0,0,15
256,-0.35582,30.425356,0,12,2.0689,2.0488,1,1,0.5972,1,256,0.00391,0,72
257,1.442904,31.321112,1,8,1.8877,2.5825,1,4,0.5972,76,256,0.29688,380,501
258,1.361871,31.451387,0,7,1.3138,1.684,1,1,0.5972,16,256,0.0625,26,73
259,1.474652,31.338894,0,11,3.7996,2.3148,1,1,0.5972,46,256,0.17969,220,508
260,1.441958,31.155403,0,7,1.4342,1.8042,1,4,0.5972,0,256,0.0,0,5
261,1.222983,30.819361,0,11,0.9379,4.0839,1,1,0.5972,50,256,0.19531,499,602
262,-1.170196,30.039474,1,9,1.7379,2.0254,1,1,0.5972,33,256,0.12891,28,56
263,-1.255216,30.05682,0,11,2.1358,2.6909,1,2,0.5972,0,256,0.0,0,15
264,-1.397798,29.935001,0,14,1.4962,2.5774,1,1,0.5972,5,256,0.01953,4,59
265,-1.213774,29.842369,0,9,1.6529,1.3698,1,1,0.5972,0,256,0.0,0,36
266,-1.157262,30.06245,0,8,1.5617,2.9264,1,1,0.5972,14,256,0.05469,12,94
267,0.640799,30.301283,1,7,2.5707,3.9987,1,1,0.5972,70,256,0.27344,413,854
268,0.626914,30.277119,1,9,1.7021,2.6882,1,1,0.5972,76,256,0.29688,218,311
269,0.447067,30.165287,0,5,1.2426,2.0021,1,2,0.5972,2,256,0.00781,5,318
270,0.578552,30.161201,0,8,1.3726,1.2203,1,2,0.5972,6,256,0.02344,14,284
271,0.196561,30.08539,1,4,3.5276,3.5044,0,0,0.5972,27,256,0.10547,23,43
272,0.000342,29.73391,0,12,1.2766,1.7563,1,1,0.5972,0,256,0.0,0,75
273,0.080449,29.85224,0,9,1.1263,1.3693,1,2,0.5972,0,256,0.0,0,7
274,0.358267,30.085493,0,10,1.3827,1.7544,0,0,0.5972,24,256,0.09375,36,107
275,0.058414,29.949335,0,9,1.7962,1.7926,1,1,0.5972,10,256,0.03906,9,91
276,0.940079,30.811918,1,3,3.947,2.4974,1,1,0.5972,21,256,0.08203,74,470
277,1.020719,31.124216,0,9,1.8457,1.7506,1,2,0.5972,0,256,0.0,0,19
278,0.887236,30.693213,0,8,1.2688,1.5653,0,0,0.5972,0,256,0.0,0,39
279,1.009102,30.557779,0,5,1.5343,1.8409,1,2,0.5972,0,256,0.0,0,1
280,0.914467,31.071218,0,8,1.7066,2.7238,1,2,0.5972,4,256,0.01562,3,13
281,-1.1506,29.672838,0,11,1.2975,1.5786,1,2,0.5972,2,256,0.00781,1,26
282,-1.324973,29.753521,0,12,0.9549,1.9687,1,2,0.5972,7,256,0.02734,166,661
283,1.694317,31.711855,1,5,2.5533,4.1759,1,1,0.5972,137,256,0.53516,2170,2433
284,1.626025,31.584976,0,3,1.6883,1.6185,1,2,0.5972,0,256,0.0,0,1
285,2.092655,31.480083,0,9,1.1392,1.6353,1,3,0.5972,0,256,0.0,0,0
286,1.746652,31.670069,0,4,1.3619,1.5473,1,2,0.5972,0,256,0.0,0,12
287,2.227439,32.261585,0,1,0.3492,1.1812,1,2,0.5972,0,256,0.0,0,34
288,-0.608761,30.67223,1,6,5.3569,5.2283,0,0,0.5972,213,256,0.83203,2444,2464
289,-0.593402,30.661873,1,2,5.0832,4.9923,1,2,0.5972,198,256,0.77344,1649,1692
290,-0.132563,30.478821,1,8,3.8321,2.3912,1,3,0.5972,10,256,0.03906,20,50
291,-0.925602,30.794159,0,9,1.4588,1.438,1,2,0.5972,1,256,0.00391,47,128
292,0.021427,30.51725,0,10,1.9953,2.2268,1,1,0.5972,68,256,0.26562,73,156
293,-0.186343,30.570772,0,13,2.8333,3.4556,1,3,0.5972,10,256,0.03906,1,6
