cid,lat,lon,urban,households,y_true_pc_cons,y_pred,out_of_fold,n_oof_splits,hr_gsd_m_per_px,subtiles_bought,subtiles_total,hr_frac,objects_acquired,objects_full_grid
149,0.857629,34.366478,0,8,1.3653,1.1816,0,0,0.5972,37,256,0.14453,38,74
150,0.869543,34.381268,0,8,1.2132,2.3499,1,1,0.5972,24,256,0.09375,20,76
151,1.029468,34.246181,0,12,0.8476,1.8904,1,1,0.5972,0,256,0.0,0,6
152,1.049531,34.364651,0,9,1.3824,1.4425,0,0,0.5972,76,256,0.29688,230,356
153,1.1839,33.719593,1,4,2.5399,2.2768,0,0,0.5972,36,256,0.14062,54,139
154,1.149416,33.920567,0,9,1.0667,1.1843,1,1,0.5972,6,256,0.02344,2,35
155,1.234501,33.690136,0,11,1.6968,1.3336,1,4,0.5972,10,256,0.03906,1,32
156,1.2608,33.797054,0,10,1.0568,1.2721,0,0,0.5972,4,256,0.01562,8,46
157,1.278416,34.122654,0,9,1.1297,1.5335,1,1,0.5972,2,256,0.00781,1,48
158,1.69263,33.445885,1,12,2.7317,1.8968,1,4,0.5972,3,256,0.01172,1,31
159,1.561938,33.303337,0,11,1.5032,1.7337,0,0,0.5972,37,256,0.14453,43,60
160,1.578815,33.510971,0,10,1.8142,1.5203,1,3,0.5972,4,256,0.01562,0,3
161,1.740009,33.578697,0,14,1.7925,1.6819,0,0,0.5972,10,256,0.03906,13,49
162,1.697674,33.690063,0,11,2.054,1.8968,1,2,0.5972,25,256,0.09766,3,76
163,0.711118,34.173637,1,4,1.0676,1.1437,1,2,0.5972,15,256,0.05859,45,82
164,1.018523,34.072948,0,8,0.8304,1.1499,1,2,0.5972,7,256,0.02734,3,40
165,0.819429,34.094074,0,9,1.3762,2.6075,1,1,0.5972,22,256,0.08594,11,48
166,0.655946,34.053288,0,12,1.3201,1.5119,0,0,0.5972,2,256,0.00781,2,94
167,0.618686,33.716751,0,12,3.0455,1.5052,1,1,0.5972,8,256,0.03125,16,110
168,0.696242,34.109386,0,8,1.9303,2.25,1,1,0.5972,26,256,0.10156,33,142
169,0.592501,33.390419,0,16,1.6262,1.774,0,0,0.5972,6,256,0.02344,23,81
170,0.423703,33.612171,0,4,0.8048,1.5718,1,1,0.5972,4,256,0.01562,3,31
171,1.245738,34.263573,1,7,2.4806,1.6123,1,1,0.5972,0,256,0.0,0,44
172,1.20074,34.256676,0,9,1.0736,2.2532,1,1,0.5972,0,256,0.0,0,16
173,1.069118,34.093575,0,11,1.92,1.7041,0,0,0.5972,9,256,0.03516,11,48
174,1.152014,34.32674,0,10,1.1094,1.9941,1,2,0.5972,4,256,0.01562,6,106
175,1.374773,34.301998,0,10,0.8984,1.9615,1,2,0.5972,9,256,0.03516,2,21
176,3.387825,31.968801,0,10,1.376,1.8641,1,2,0.5972,0,256,0.0,0,1
177,2.018098,32.551552,1,8,6.3074,1.3529,1,3,0.5972,0,256,0.0,0,3
178,2.407014,32.747772,0,14,1.008,2.0893,1,2,0.5972,0,256,0.0,0,38
179,2.315016,32.870842,0,17,1.2348,1.5588,1,1,0.5972,2,256,0.00781,9,85
180,2.424601,32.851692,0,11,1.0283,3.0146,1,2,0.5972,4,256,0.01562,2,44
181,1.9447,32.639019,0,10,1.1137,1.2444,0,0,0.5972,0,256,0.0,0,2
182,2.058312,32.649014,0,9,1.9795,1.1911,1,2,0.5972,4,256,0.01562,3,37
183,1.839629,32.453163,0,12,2.1149,1.6597,1,2,0.5972,0,256,0.0,0,3
184,2.033412,32.832584,0,2,1.584,1.8776,1,2,0.5972,4,256,0.01562,2,36
185,2.352501,32.254761,0,10,1.0785,2.1675,1,2,0.5972,0,256,0.0,0,7
186,2.364858,32.603275,0,9,0.8245,1.9707,1,1,0.5972,0,256,0.0,0,1
187,2.336441,32.442486,0,13,0.9431,2.404,1,2,0.5972,0,256,0.0,0,4
